
[2022/07/22 12:21:02 (JP)] | [Internet unknown] | [Location notDetermined] | [State App in Inactive]:  **** New Start App - iOS 12.4.1 ****
[2022/07/22 13:22:18 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Background]: deleteUnlockOperationLogDB
[2022/07/22 13:22:18 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Background]: statusUnlock: true
[2022/07/22 13:22:18 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Background]: Call API: freeKeyCheckResultLog
[2022/07/22 13:22:18 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Background]: urlStr: https://ichi-plus-dev2.zyyx.jp/ABSforC/getFreekeyCheckResultLog.php?auth=3b2f408c962dc479a63f9660225298f4
[2022/07/22 13:22:18 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Background]: request: Optional([D_IchiNinshiki_TK.FreeKeyCheckResultLogRequest(projectID: Optional("1047"), equip_id: Optional("E018947"), reservedDate: Optional("2022-07-22"), ampm: Optional("0"), checkDate: Optional("2022-07-22 10:23:35"), belongID: Optional("B01105"), workerBelongID: Optional(""), workerBelongName: Optional("ジークス"), workerID: Optional("W01274"), workerName: Optional("ベトナム用　クエン"), online: Optional("0"), checkListID: Optional("CL000002"), check: Optional([D_IchiNinshiki_TK.GetFreekeyReservationListsResponse.Reserved.Check(checkItemID: Optional("CI000805"), part: Optional("足回り"), checkItem: Optional("アーム、バスケット"), contents: Optional("作動、損傷"), sort: Optional("1"), checkResult: Optional("0"))])), D_IchiNinshiki_TK.FreeKeyCheckResultLogRequest(projectID: Optional("1047"), equip_id: Optional("E018947"), reservedDate: Optional("2022-07-22"), ampm: Optional("0"), checkDate: Optional("2022-07-22 10:23:37"), belongID: Optional("B01105"), workerBelongID: Optional(""), workerBelongName: Optional("ジークス"), workerID: Optional("W01274"), workerName: Optional("ベトナム用　クエン"), online: Optional("0"), checkListID: Optional("CL000002"), check: Optional([D_IchiNinshiki_TK.GetFreekeyReservationListsResponse.Reserved.Check(checkItemID: Optional("CI000805"), part: Optional("足回り"), checkItem: Optional("アーム、バスケット"), contents: Optional("作動、損傷"), sort: Optional("1"), checkResult: Optional("1"))]))])
[2022/07/22 13:22:20 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Background]: freeKeyCheckResultLogResponse: FreeKeyCheckResultLogResponse(result: "0")
[2022/07/22 13:22:20 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Background]: deleteCheckListOperationLogDB-freeKeyCheckResultLogs
[2022/07/22 13:22:20 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Background]: statusCheckList: true
[2022/07/22 13:22:23 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Background]: setRandomNextTime (UTC): 2022-07-22 05:22:23 +0000
[2022/07/22 13:22:23 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Background]: Login!
[2022/07/22 13:34:12 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Background]: App EnterForeground
[2022/07/22 13:34:12 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Active]: App becomeActive 1
[2022/07/22 13:34:14 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Active]: App moves 1
[2022/07/22 13:34:16 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Background]: App moves to the Background
